1386136745 :: Finding faces
1386136745 :: Finding Eyes
1386136745 :: Finished finding features
1386136745 :: Finding features
1386136745 :: Finding faces
1386136745 :: Finding Eyes
1386136745 :: Unknown exception
1386136745 :: Finding features
1386136745 :: Finding faces
1386136745 :: Finding Eyes
1386136745 :: Unknown exception
1386136745 :: Finding features
1386136745 :: Finding faces
1386136745 :: Finding Eyes
1386136745 :: Unknown exception
1386136745 :: Finding features
1386136745 :: Finding faces
1386136745 :: Finding Eyes
1386136745 :: Finished finding features
1386136746 :: Finding features
1386136746 :: Finding faces
1386136746 :: Finding Eyes
1386136746 :: Finished finding features
1386136746 :: Finding features
1386136746 :: Finding faces
1386136746 :: Finding Eyes
1386136746 :: Finished finding features
1386136746 :: Finding features
1386136746 :: Finding faces
1386136746 :: Finding Eyes
1386136746 :: Unknown exception
1386136746 :: Finding features
1386136746 :: Finding faces
1386136746 :: Finding Eyes
1386136746 :: Unknown exception
1386136746 :: Finding features
1386136746 :: Finding faces
1386136746 :: Finding Eyes
1386136747 :: Unknown exception
1386136747 :: Finding features
1386136747 :: Finding faces
1386136747 :: Finding Eyes
1386136747 :: Unknown exception
1386136747 :: Finding features
1386136747 :: Finding faces
1386136747 :: Finding Eyes
1386136747 :: Unknown exception
1386136747 :: Finding features
1386136747 :: Finding faces
1386136747 :: Finding Eyes
1386136747 :: Unknown exception
1386136747 :: Finding features
1386136747 :: Finding faces
1386136747 :: Finding Eyes
1386136747 :: Unknown exception
1386136747 :: Finding features
1386136747 :: Finding faces
1386136747 :: Finding Eyes
1386136747 :: Unknown exception
1386136747 :: Finding features
1386136747 :: Finding faces
1386136747 :: Finding Eyes
1386136748 :: Finished finding features
1386136748 :: Finding features
1386136748 :: Finding faces
1386136748 :: Finding Eyes
1386136748 :: Unknown exception
1386136748 :: Finding features
1386136748 :: Finding faces
1386136748 :: Finding Eyes
1386136748 :: Unknown exception
1386136748 :: Finding features
1386136748 :: Finding faces
1386136748 :: Finding Eyes
1386136748 :: Unknown exception
1386136748 :: Finding features
1386136748 :: Finding faces
1386136748 :: Finding Eyes
1386136748 :: Unknown exception
1386136748 :: Finding features
1386136748 :: Finding faces
1386136748 :: Finding Eyes
1386136749 :: Unknown exception
1386136749 :: Finding features
1386136749 :: Finding faces
1386136749 :: Finding Eyes
1386136749 :: Unknown exception
1386136749 :: Finding features
1386136749 :: Finding faces
1386136749 :: Finding Eyes
1386136749 :: Unknown exception
1386136749 :: Finding features
1386136749 :: Finding faces
1386136749 :: Finding Eyes
1386136749 :: Unknown exception
1386136749 :: Finding features
1386136749 :: Finding faces
1386136749 :: Finding Eyes
1386136749 :: Unknown exception
1386136749 :: Finding features
1386136749 :: Finding faces
1386136749 :: Finding Eyes
1386136749 :: Unknown exception
1386136750 :: Finding features
1386136750 :: Finding faces
1386136750 :: Finding Eyes
1386136750 :: Unknown exception
1386136750 :: Finding features
1386136750 :: Finding faces
1386136750 :: Finding Eyes
1386136750 :: Unknown exception
1386136750 :: Finding features
1386136750 :: Finding faces
1386136750 :: Finding Eyes
1386136750 :: Unknown exception
1386136750 :: Finding features
1386136750 :: Finding faces
1386136750 :: Finding Eyes
1386136750 :: Unknown exception
1386136750 :: Finding features
1386136750 :: Finding faces
1386136750 :: Finding Eyes
1386136750 :: Unknown exception
1386136750 :: Finding features
1386136750 :: Finding faces
1386136750 :: Finding Eyes
1386136751 :: Unknown exception
1386136751 :: Finding features
1386136751 :: Finding faces
1386136751 :: Finding Eyes
1386136751 :: Unknown exception
1386136751 :: Finding features
1386136751 :: Finding faces
1386136751 :: Finding Eyes
1386136751 :: Unknown exception
1386136751 :: Finding features
1386136751 :: Finding faces
1386136751 :: Finding Eyes
1386136751 :: Unknown exception
1386136751 :: Finding features
1386136751 :: Finding faces
1386136751 :: Finding Eyes
1386136751 :: Unknown exception
1386136751 :: Finding features
1386136751 :: Finding faces
1386136751 :: Finding Eyes
1386136751 :: Unknown exception
1386136751 :: Finding features
1386136751 :: Finding faces
1386136752 :: Finding Eyes
1386136752 :: Unknown exception
1386136752 :: Finding features
1386136752 :: Finding faces
1386136752 :: Finding Eyes
1386136752 :: Unknown exception
1386136752 :: Finding features
1386136752 :: Finding faces
1386136752 :: Finding Eyes
1386136752 :: Finished finding features
1386136752 :: Finding features
1386136752 :: Finding faces
1386136752 :: Finding Eyes
1386136752 :: Finished finding features
1386136752 :: Finding features
1386136752 :: Finding faces
1386136752 :: Finding Eyes
1386136752 :: Finished finding features
1386136753 :: Finding features
1386136753 :: Finding faces
1386136753 :: Finding Eyes
1386136753 :: Unknown exception
1386136753 :: Finding features
1386136753 :: Finding faces
1386136753 :: Finding Eyes
1386136753 :: Finished finding features
1386136753 :: Finding features
1386136753 :: Finding faces
1386136753 :: Finding Eyes
1386136753 :: Unknown exception
1386136753 :: Finding features
1386136753 :: Finding faces
1386136753 :: Finding Eyes
1386136753 :: Finished finding features
1386136753 :: Finding features
1386136753 :: Finding faces
1386136753 :: Finding Eyes
1386136754 :: Finished finding features
1386136754 :: Finding features
1386136754 :: Finding faces
1386136754 :: Finding Eyes
1386136754 :: Unknown exception
1386136754 :: Finding features
1386136754 :: Finding faces
1386136754 :: Finding Eyes
1386136754 :: Finished finding features
1386136754 :: Finding features
1386136754 :: Finding faces
1386136754 :: Finding Eyes
1386136754 :: Finished finding features
1386136754 :: Finding features
1386136754 :: Finding faces
1386136754 :: Finding Eyes
1386136754 :: Finished finding features
1386136754 :: Finding features
1386136754 :: Finding faces
1386136754 :: Finding Eyes
1386136755 :: Finished finding features
1386136755 :: Finding features
1386136755 :: Finding faces
1386136755 :: No faces found
1386136755 :: Finding features
1386136755 :: Finding faces
1386136755 :: No faces found
1386136755 :: Finding features
1386136755 :: Finding faces
1386136756 :: No faces found
1386136756 :: Finding features
1386136756 :: Finding faces
1386136756 :: No faces found
1386136756 :: Finding features
1386136756 :: Finding faces
1386136757 :: No faces found
1386136757 :: Finding features
1386136757 :: Finding faces
1386136758 :: No faces found
1386136758 :: Finding features
1386136758 :: Finding faces
1386136759 :: No faces found
1386136759 :: Finding features
